ein,name,city,state,ntee_code,revenue
951647810,Five Acres The Boys & Girls Aid Society Of Los Angeles County,Pasadena,CA,,53322538
940474080,Fred Finch Youth Center,Oakland,CA,F33Z,49454456
952016696,Mckinley Childrens Center Inc,San Dimas,CA,F33Z,49174372
951647832,Vista Del Mar Child And Family Services,Los Angeles,CA,P400,48341568
951647813,Boys Republic,Chino Hills,CA,P300,37793968
953244085,New Alternatives Incorporated,San Diego,CA,,34156594
941186168,Edgewood Center For Children And Families,San Francisco,CA,F33Z,33442889
942221849,Bill Wilson Center,Santa Clara,CA,P460,32583031
237107958,Social Advocates For Youth San Diego Inc,San Diego,CA,P300,28500843
953616628,Orangewood Foundation,Santa Ana,CA,I72J,21647221
237088977,Buckelew Programs,Novato,CA,F30Z,21233542
951660346,David And Margaret Home Inc,La Verne,CA,P73Z,17366348
941648949,Community Action Partnership Of Sonoma County,Santa Rosa,CA,S200,17319797
943024246,North Bay Childrens Center Inc,Novato,CA,P33Z,15387283
237113824,Helpline Youth Counseling Inc,Whittier,CA,I21,13716550
941711490,Individuals Now Inc Social Advocates For Youth,San Francisco,CA,P300,10719835
770323115,The Unity Care Group,San Jose,CA,P730,9613578
770168444,Kern Bridges Youth Homes,Bakersfield,CA,P32Z,7689372
946132571,Youth Homes Incorporated,Concord,CA,P730,6940961
814243450,Fred Finch Youth Center Cares Inc,Oakland,CA,P82,5656655
464153515,Homies Organizing The Mission To Empower Youth Homey,San Francisco,CA,F60,2968295
953203759,Tobinworld,Pasadena,CA,B28Z,2740413
264655116,Counseling And Support Services For Youth,Milpitas,CA,E99,2520056
330761851,All Of Gods Childrens Group Home,Moreno Valley,CA,P73,2376837
237433396,St Andrews Residential Programs For Youth,San Jose,CA,,2238002
